,id,fecha,hora,cliente,P1,P2,PR,calidad,NI,source
22673,111,2018-03-25,0 days 14:00:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22674,0,2018-03-25,0 days 14:01:52.000000000,158,0.0,0.0,225.0,1,-492.0,R
22675,111,2018-03-25,0 days 14:02:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22676,111,2018-03-25,0 days 14:03:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22677,0,2018-03-25,0 days 14:04:52.000000000,158,0.0,0.0,225.0,1,-492.0,R
22678,0,2018-03-25,0 days 14:05:52.000000000,158,0.0,0.0,225.0,1,-492.0,R
22679,111,2018-03-25,0 days 14:06:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22680,0,2018-03-25,0 days 14:07:52.000000000,158,0.0,0.0,226.0,1,-492.0,R
22681,111,2018-03-25,0 days 14:08:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22682,0,2018-03-25,0 days 14:09:52.000000000,158,0.0,0.0,226.0,1,-492.0,R
22683,111,2018-03-25,0 days 14:10:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22684,111,2018-03-25,0 days 14:11:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22685,111,2018-03-25,0 days 14:12:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22686,111,2018-03-25,0 days 14:13:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22687,111,2018-03-25,0 days 14:14:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22688,111,2018-03-25,0 days 14:15:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22689,0,2018-03-25,0 days 14:16:52.000000000,158,0.0,0.0,224.0,1,-492.0,R
22690,0,2018-03-25,0 days 14:17:52.000000000,158,0.0,0.0,224.0,1,-492.0,R
22691,111,2018-03-25,0 days 14:18:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22692,111,2018-03-25,0 days 14:19:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22693,111,2018-03-25,0 days 14:20:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22694,111,2018-03-25,0 days 14:21:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22695,111,2018-03-25,0 days 14:22:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22696,0,2018-03-25,0 days 14:23:52.000000000,158,0.0,0.0,224.0,1,-492.0,R
22697,0,2018-03-25,0 days 14:24:52.000000000,158,0.0,0.0,225.0,1,-492.0,R
22698,0,2018-03-25,0 days 14:25:52.000000000,158,0.0,0.0,224.0,1,-492.0,R
22699,111,2018-03-25,0 days 14:26:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22700,111,2018-03-25,0 days 14:27:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22701,111,2018-03-25,0 days 14:28:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22702,111,2018-03-25,0 days 14:29:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22703,111,2018-03-25,0 days 14:30:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22704,111,2018-03-25,0 days 14:31:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22705,111,2018-03-25,0 days 14:32:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22706,111,2018-03-25,0 days 14:33:52.000000000,158,0.0,0.0,224.0,1,-492.0,E
22707,0,2018-03-25,0 days 14:34:52.000000000,158,0.0,0.0,225.0,1,-492.0,R
22708,111,2018-03-25,0 days 14:35:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22709,111,2018-03-25,0 days 14:36:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22710,111,2018-03-25,0 days 14:37:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22711,111,2018-03-25,0 days 14:38:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22712,111,2018-03-25,0 days 14:39:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22713,111,2018-03-25,0 days 14:40:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22714,111,2018-03-25,0 days 14:41:52.000000000,158,0.0,0.0,225.0,1,-495.0,E
22715,111,2018-03-25,0 days 14:42:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22716,111,2018-03-25,0 days 14:43:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22717,0,2018-03-25,0 days 14:44:52.000000000,158,0.0,0.0,225.0,1,-492.0,R
22718,111,2018-03-25,0 days 14:45:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22719,111,2018-03-25,0 days 14:46:52.000000000,158,0.0,0.0,226.0,1,-492.0,E
22720,0,2018-03-25,0 days 14:47:52.000000000,158,0.0,0.0,226.0,1,-492.0,R
22721,111,2018-03-25,0 days 14:48:52.000000000,158,0.0,0.0,225.0,1,-492.0,E
22722,111,2018-03-25,0 days 14:49:52.000000000,158,0.0,0.0,226.0,1,-495.0,E
